trade_number,position_type,open_time,duration,sma_short_value,sma_long_value,sma_signal,macd_value,macd_long_value,macd_signal,rsi_value,rsi_signal,wallet
57,open,2024-07-28 23:20:00,0,68055.31539999999,67810.90860000001,buy,2.9923045673931483,0.6783530529654592,buy,55.100862034273376,neutral,1406.47529170097
57,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1451.3999008127198
58,open,2024-07-28 23:25:00,0,68053.6378,67814.00425000001,buy,8.589652606693562,2.26061296371108,buy,55.79355185294591,neutral,1451.3999008127198
58,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1497.3208958288126
59,open,2024-07-28 23:30:00,0,68051.6666,67817.35800000001,buy,11.706097337111714,4.149709838391207,buy,54.48179452513422,neutral,1497.3208958288126
59,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1535.5999962259975
60,open,2024-07-28 23:35:00,0,68049.6266,67820.728,buy,18.366718167657382,6.9931115042444425,buy,58.39677397651967,neutral,1535.5999962259975
60,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1582.3596400723973
61,open,2024-07-28 23:40:00,0,68050.8506,67824.85795,buy,26.565133711032104,10.907515945601975,buy,61.0410381567067,neutral,1582.3596400723973
61,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1628.6596755438106
62,open,2024-07-28 23:45:00,0,68052.69720000001,67829.03830000001,buy,34.441440661408706,15.61430088876332,buy,62.45579775973608,neutral,1628.6596755438106
62,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1675.2481943503135
63,open,2024-07-28 23:50:00,0,68055.39940000001,67833.25830000002,buy,41.65573880588636,20.822588472187928,buy,63.61934218147134,neutral,1675.2481943503135
63,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1722.2729807108335
